Mixture,B,CTL,GMP-like,LSPC-Cycle,LSPC-Primed,LSPC-Quiescent,Mono-like,Monocyte,NK,Plasma,ProMono-like,T,cDC,cDC-like,P-value,Correlation,RMSE,Absolute score (sig.score)
LSC0001_Bl_CD34mCD38m,0.424229463066306,0.0190855140150284,0.238960620648379,18.7959169046506,0.40180939321918,0.20642813561228,0.474813173271808,1.44735619854943,0.233422767305246,0.0698068066659935,0,3.01789785678942,3.64553563404132,2.42231942091012,0,0.478250698650654,0.927237899787151,31.3975818887452
LSC0001_Bl_CD34pCD38m,0.137160965970454,0.892243785788884,5.9458612546106,1.02786028951653,1.3774479560593,2.67935548319661,0,0.398436076352474,0.0193472139521719,0.148735623592045,0.0995763307010333,0.00769944066068938,1.0236668338096,2.83388144954122,0,0.556023324248078,0.877485667790355,16.5912727037516
LSC0001_Bl_CD34pCD38p,0.0791019093448138,0.528855210325648,8.30925095775886,1.53014604840748,0.10422062107879,1.35473961109421,0,0.399566295771303,0.0203307284241367,0.118868407860623,0.223865522651543,0.008266884940224,0.860647204037368,1.48353076648094,0,0.919540503572938,0.648921296857178,15.0213901681759
LSC0002_Bl_CD34mCD38p,1.09039231971631,0.949458191502361,1.16310200473506,4.25836400552268,1.57782020693069,0,15.5193226827364,1.87464220440786,0.35231678937336,0.63675706270227,0,0,0,1.88247808994094,0,0.898133046974874,0.51169820258397,29.3046535575679
LSC0002_Bl_CD34pCD38m,0.204274866224088,0.751188216729491,7.26574717260717,0.233497637373566,0.0434506794445088,4.01763594603634,0,0.821984280169033,0.0132150964756958,0.325132134984514,0.247654500584279,0.094773973106355,0.571087415127757,2.32822716263784,0,0.812470198137101,0.761548813608921,16.9178690815006
LSC0002_Bl_CD34pCD38p,0.194289718762264,0.637348053494983,7.22098855093191,2.81108312829759,0,1.14906481328457,0.0820083418237152,0.590208368339502,0.0269560094095871,0.16627079940783,0.59924338327494,0,0.900161148537542,2.40256707641487,0,0.824645499432599,0.75436257477475,16.7801893919793
LSC0003_Bl_CD34mCD38m,0.376841526641067,1.08117675182306,0.0935143574993327,0.335344479355767,1.45985396890826,0.700007585175661,0,1.17296785528369,0.028468058167344,0.214037422451102,0.916339369825663,0,0.895845981495457,9.94809656316661,0,0.274508708813258,0.966904422109648,17.222493919793
LSC0003_Bl_CD34pCD38p,0.0941476594415328,0.453928618065986,4.01415211951876,0.203176791708483,0.571154730891317,3.20968874429087,0,0.24568632076485,0.00525034693186584,0.162147346393906,0.129611964106737,0,0.468981510237956,1.88809687481462,0,0.581246564424348,0.870546602392392,11.4460230271669
LSC0004_Bl_CD34mCD38p,0.231815855737149,0.128574474112436,0.195486250657099,0.89470879523666,0,0.781655316980384,0,0.131660391666188,0.391919598879006,1.5347260802128,0.0712494547546422,0,0.262307601199831,0.698649350033404,0,0.716793335452532,0.732946982523825,5.3227531694696
LSC0004_Bl_CD34pCD38m,0.265359378776182,0.762499500954298,0.342599422408063,1.05347398500005,1.97795077055483,4.68308890501723,0.000651377845588211,0.672208780960672,0.131272086803798,0.280661210634448,0.243930550376316,0.231208900945037,0.555603507513276,4.42304712026973,0,0.487674945670905,0.939183464378701,15.6235554980595
LSC0004_Bl_CD34pCD38p,0.13848752935421,0.675864320736736,7.11791162282633,0,0.237861944249698,4.09519387483751,0,0.541977535449995,0.20791278421011,0.157341681907154,0.327178222748104,0,0.690739756743269,2.9257757463418,0,0.780583521260641,0.780558064327053,17.1162450194049
