Mixture,B,CTL,GMP-like,LSPC-Cycle,LSPC-Primed,LSPC-Quiescent,Mono-like,Monocyte,NK,Plasma,ProMono-like,T,cDC,cDC-like,P-value,Correlation,RMSE,Absolute score (sig.score)
12-00023,0.15183144909795,0.0778668081937837,0.745268546638533,0.184245815788574,0,1.047542208869,2.78782019770692,1.28047236918402,0.164552814907593,0.0192986486490798,0.278446109284167,0.137157303437773,0,2.18887906423673,0,0.973762832554707,0.239422607686611,9.06338133599412
12-00051,0.0952833478429777,0.309371400524698,0.0654506480959023,0.285264830676491,1.04759772693348,0.979159456432737,0.113128563224898,0,0.0631861701053544,0.124665294244048,0.047709039046031,0.0815860424659613,1.68599302742523,0.19967638092631,0,0.470860548868437,0.94656360939577,5.09807192794412
12-00066,0.133699692714451,0.0779420319320972,1.72368637635636,0.428911192982998,0.155181222128174,0.23195392579757,0.684134337216616,2.22221464207148,0.119784176617513,0.0785844359882509,1.90385498218254,0.0666401451412624,0,1.61769456062729,0,0.963054041973195,0.277743601346273,9.4442817217566
12-00150,0.114898085445392,0.243674721913001,0.993743267405773,0.717295983153392,0.229780990580082,0.911129327427283,0,0.444167196466453,0.0475820300074758,0.0952554360865834,1.14801595720503,0,0.472192892493284,1.33814020335027,0,0.506769685471007,0.862068877895272,6.75587609153402
12-00211,0.126183559682585,0.113089272138892,1.08444704430898,0.0234350249409098,0.882873553859746,1.79951075110563,0,0.171493990905767,0.0232659900570234,0.017714186158192,0.373246024393588,0,0.392102857303376,0.478990183090199,0,0.697762549956281,0.831527249732962,5.48635243794488
12-00258,0.0849718549809371,0.120467826775627,0.845214709490664,0,0.128513418280556,0.559168640069241,3.08110314495797,0.769909945749103,0.0379381788083223,0.0032110910980859,0.892817176986444,0,0.221801125732952,2.23498629859449,0,0.95842185200978,0.293775116288767,8.98010341152439
12-00294,0.235675333879615,0.109332757596241,0.735527035812025,0.399428455176378,1.14858754050867,0.952748687363654,0.51566567280228,0,0,0.00607977406169457,0,0.113788281231226,0.0939520600664835,1.44458726825354,0,0.761828500865305,0.832105239891727,5.75537286675181
12-00372,0.0358357274345232,0,1.41765612744984,0,1.2592192279188,0.673544086711063,0.0114821659055373,0.321586105311717,0.320687123097386,0.0818965413985805,0.644347157304317,0.379502080569862,0.418670908639643,1.118811045888,0,0.871711882421823,0.708551789250852,6.68323829762927
12-00423,0.0628005089604162,0,2.14584503756518,0.267343690237668,0.489034989951331,0.966634948234626,0.208066881068774,0.278768041886562,0.427725447872736,0.0815419222923342,0.529779157067426,0.390541837000099,0.287026614890612,0.864718168641459,0,0.859311513169607,0.690760321305095,6.99982724566922
12-00426,0.191415291829902,0.0452946468036608,1.08699636532025,0.291997177102665,0.559226174268991,1.68371417897546,0.00188334540637071,0.124597852132343,0.183021952308539,0.042572023105175,0.225969710751116,0.254004952377555,0.355035878370625,0.380348040221559,0,0.872453433033164,0.805177059899348,5.42607758897421
