Mixture,B,CTL,GMP-like,LSPC-Cycle,LSPC-Primed,LSPC-Quiescent,Mono-like,Monocyte,NK,Plasma,ProMono-like,T,cDC,cDC-like,P-value,Correlation,RMSE,Absolute score (sig.score)
BM213,2.36222756775457,0.667783223373931,12.673695214103,2.22015630252078,1.89479652801989,3.39060342464129,10.8143078858542,1.73838884827991,1.3626528793615,0.195297808632808,2.01050095598883,1.66665132620598,0,0,0,0.973255557228707,0.316852903133721,40.9970619647367
BM225,0.311863945241926,0,0,3.7359889497496,3.98745552118016,5.43835217977733,0,0.46387776349084,0.263357258932027,0.469536550767161,0.247295160199428,0,1.00596457095463,3.78102350527115,0,0.491846536171619,0.957701490676633,19.7047154055642
BM247,0.513119064719195,0,5.98565975556577,0.144699620874305,3.67302260359964,5.1832470564206,0,0.132575675664876,0.487225846284639,0.46793178487447,0.30548466502443,0.498906626105027,1.19098170909707,3.99030894893178,0,0.944741856438788,0.697071412240078,22.5731633571618
BM251,0.141452299915135,0.0398122287895172,0.0898270064335754,0.314828754533866,0.253852931106648,0.659087457299508,0.206766609740474,0.152854367526986,0.13006620064899,0.0704055807648936,0.00226412347246017,0.0817175741706817,0,1.29071080092047,0,0.516104339301273,0.902549670460219,3.4336459353232
BM255,0.293319029589328,0.0353025675036516,6.32454414837745,3.18378026437666,2.0198323690793,4.67842056347521,0,0.153524052527855,0.377964309007568,0.368410921851413,0.108780912942523,0,1.46543948209316,6.16258390358161,0,0.927364851299939,0.719256442195616,25.1719025244057
BM258,0.67358916028976,0,26.3792814076922,0,2.2690156188456,0,12.2047474379476,11.7400843831874,1.04781894837254,0.708034625672761,0,0,4.37758214127834,0,0,0.914516937580693,0.415803437960002,59.4001537232863
BM261,0.748847383313442,0.508152653245952,18.5941514867687,0,1.23072973632682,0,3.16496092688902,0.724000969832417,1.59401009911493,0.356415856250593,0.338790706795706,0.891335339737039,0.432072312212799,5.19513127227033,0,0.987930558548299,0.341244254943289,33.7785987427578
BM262,0.736259440732927,0.455545891745847,13.7477518576378,0,1.16798408688159,0.887651085399083,1.36632096737561,0,1.03575578614058,0.384597060931853,0,1.25234534979322,0.399454926795823,6.7129519420989,0,0.974247258424309,0.457118979824591,28.1466183955332
BM263,0.795309107932677,0,29.4475323838123,0,0.945761022083362,0,22.4303132012665,10.3614090810496,1.22479149840091,0.704794541315609,0,0,4.48539160155107,0,0,0.925228308940739,0.412521522977931,70.395302437412
BM265,1.89931194451247,0.0910154893676049,26.4626270648918,0,0.993776681862368,1.92682024461172,19.1591721073029,17.0509705454236,1.70033416511608,0.661364288968974,0,1.70388566889954,2.35662690511545,0,0,0.925111930369036,0.426019215162015,74.0059051060724
BM271,0,0.143318034350837,25.0343921972829,0,0.754081181393936,0,3.03116004951682,4.8752669806832,0.961151337650972,1.25829690870562,0,0.186813005503733,4.17426970931951,2.64086304741784,0,0.921149532363734,0.405991315198123,43.0596124518253
BM273,0.934991997326477,0.403704887238588,17.2949575656882,0,2.48874568101275,2.06857621259651,9.61353734706512,0,0.343332315152205,0.394730519228093,0.37246808039598,0.68170504986248,0.46749900728366,1.36744762573026,0,0.977225402156489,0.298624761538695,36.4316962885803
